iteration,candidate,model_id,run_json,policy_json,quality_score,overall_score,speed_score,reliability_score,value_score,generation_tok_per_sec,total_runtime_sec,agent_score,coding_score,dataextract_score,instructfollow_score,reasonmath_score,toolcall_score,proxy_requests,preflight_requests,coding_fallbacks,retried_requests
1,current-node-ast-baseline,gemma-4-E2B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-20x/iteration-01/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-20x/iteration-01/policy.json,82.37833333333333,74.05361142322099,53.84,71.91011235955057,11.130893473288587,18.790012021314595,831.7009587080101,96.88,100,82.95,61.11,53.33,100,119,12,12,1
1,current-node-ast-baseline,gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-20x/iteration-01/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-20x/iteration-01/policy.json,82.51666666666667,72.4354925093633,42.56,74.15730337078652,6.153514804316378,10.05605511437832,1384.8449189579987,100,100,80.65,57.78,66.67,90,119,12,12,1
2,coding-cap-512,gemma-4-E2B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-20x/iteration-02/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-20x/iteration-02/policy.json,83.62666666666667,75.60889138576779,53.97,75.28089887640449,11.91969547757286,18.933703765800825,825.3510809580039,96.88,100,82.1,67.78,60,95,119,12,12,1
2,coding-cap-512,gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-20x/iteration-02/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-20x/iteration-02/policy.json,83.26666666666667,73.27579026217228,41.89,76.40449438202246,6.166676632469367,9.693064221196495,1454.3640981249919,93.75,100,89.18,66.67,60,90,118,12,12,1
3,coding-cap-256,gemma-4-E2B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-20x/iteration-03/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-20x/iteration-03/policy.json,80.05,71.85923033707866,52.08,69.66292134831461,9.577697509825649,17.175053462039507,819.9975534580008,90.62,100,79.9,64.45,50.33,95,118,12,12,0
3,coding-cap-256,gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-20x/iteration-03/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-20x/iteration-03/policy.json,83.69666666666667,73.55829026217229,42.12,76.40449438202246,6.293067985279407,9.840912164548461,1378.1070726250182,96.88,100,86.97,63.33,60,95,119,12,12,0
4,coding-cap-128,gemma-4-E2B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-20x/iteration-04/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-20x/iteration-04/policy.json,80.02499999999999,72.03748033707866,53.04,69.66292134831461,10.031475682409917,17.994403678981016,847.194145165995,96.88,100,82.15,64.45,46.67,90,120,12,12,0
4,coding-cap-128,gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-20x/iteration-04/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-20x/iteration-04/policy.json,83.51333333333334,73.47945692883896,42.23,76.40449438202246,6.329772967074684,9.920039668486307,1418.698245208012,93.75,100,82.33,63.33,66.67,95,120,12,12,0
5,coding-cap-64,gemma-4-E2B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-20x/iteration-05/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-20x/iteration-05/policy.json,80.155,71.93208146067417,53.56,68.53932584269663,10.232701757191698,18.626011618678586,798.6666079159768,93.75,100,79.4,61.11,46.67,100,119,12,12,0
5,coding-cap-64,gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-20x/iteration-05/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-20x/iteration-05/policy.json,83.425,73.40487359550562,42.1,76.40449438202246,6.279195691338402,9.851194565903118,1382.3325892499997,96.88,100,85.33,66.67,60,91.67,119,12,12,0
6,tool-cap-256-coding-128,gemma-4-E2B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-20x/iteration-06/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-20x/iteration-06/policy.json,79.46,71.65873033707865,52.7,69.66292134831461,9.801817797684548,17.707464579336424,825.322444459016,90.62,100,81.7,61.11,53.33,90,122,12,12,0
6,tool-cap-256-coding-128,gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-20x/iteration-06/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-20x/iteration-06/policy.json,82.55,72.94962359550561,42.23,76.40449438202246,6.22822593489225,9.87480151433018,1429.798842624994,93.75,100,88.22,63.33,60,90,119,12,12,0
7,tool-cap-384-coding-128,gemma-4-E2B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-20x/iteration-07/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-20x/iteration-07/policy.json,80.03333333333335,71.972063670412,52.69,69.66292134831461,9.837364604481996,17.644370956971507,838.5752830839774,93.75,100,79.22,65.56,46.67,95,120,12,12,0
7,tool-cap-384-coding-128,gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-20x/iteration-07/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-20x/iteration-07/policy.json,83.52666666666666,73.38479026217229,41.72,76.40449438202246,6.154642786132031,9.644035390231444,1356.2525463329803,96.88,100,85.95,63.33,60,95,119,12,12,0
8,instruction-cap-384-coding-128,gemma-4-E2B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-20x/iteration-08/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-20x/iteration-08/policy.json,78.58666666666666,71.54329588014981,53.12,70.78651685393258,10.02527500144904,18.02174679514609,834.5135680420208,93.75,100,74.65,64.45,43.67,95,119,12,12,0
8,instruction-cap-384-coding-128,gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-20x/iteration-08/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-20x/iteration-08/policy.json,83.665,73.34287359550562,41.13,76.40449438202246,5.965407207480978,9.332056792773123,1381.1856011250056,90.62,100,83.03,66.67,66.67,95,118,12,12,0
9,instruction-cap-768-coding-128,gemma-4-E2B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-20x/iteration-09/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-20x/iteration-09/policy.json,81.625,73.89507584269664,52.31,74.15730337078652,10.550268284092413,17.42955825855909,873.5282696670038,96.88,100,81.75,64.45,46.67,100,118,12,12,0
9,instruction-cap-768-coding-128,gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-20x/iteration-09/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-20x/iteration-09/policy.json,84.54166666666667,74.47683801498128,41.58,78.65168539325843,6.3542849188074175,9.556257541767685,1417.4801635410113,90.62,100,88.3,73.33,60,95,121,12,12,0
10,default-cap-384-coding-128,gemma-4-E2B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-20x/iteration-10/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-20x/iteration-10/policy.json,81.35333333333332,73.11696254681648,53.38,70.78651685393258,10.545413950946942,18.312082540871643,885.925322916999,96.88,100,84.02,58.89,53.33,95,119,12,12,0
