iteration,candidate,model_id,run_json,policy_json,quality_score,overall_score,speed_score,reliability_score,value_score,generation_tok_per_sec,total_runtime_sec,agent_score,coding_score,dataextract_score,instructfollow_score,reasonmath_score,toolcall_score,proxy_requests,preflight_requests,coding_fallbacks,retried_requests
1,reasonmath-896-instruction-640-coding-128,gemma-4-E2B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-extra5/iteration-01/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-extra5/iteration-01/policy.json,84.29666666666667,78.6753913857678,67.46,75.28089887640449,25.241777471657876,39.7763323734799,440.9544273340143,96.88,100,77.78,64.45,66.67,100,119,12,12,0
1,reasonmath-896-instruction-640-coding-128,gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-extra5/iteration-01/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-extra5/iteration-01/policy.json,86.23833333333334,79.47470131086143,57.69,82.02247191011236,16.451943579748338,23.25862322078537,646.0395236670156,96.88,100,85.55,66.67,73.33,95,121,12,12,0
2,json-640-tool-256-coding-128,gemma-4-E2B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-extra5/iteration-02/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-extra5/iteration-02/policy.json,83.71666666666667,78.45729026217228,66.56,76.40449438202246,24.723195234299318,38.652159639528286,411.90593379101483,96.88,100,85.97,64.45,60,95,120,12,12,0
2,json-640-tool-256-coding-128,gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-extra5/iteration-02/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-extra5/iteration-02/policy.json,87.28833333333334,79.98530243445694,58.76,80.89887640449437,17.356083643907315,24.578368057137443,628.1224804999947,96.88,100,88.52,70,73.33,95,120,12,12,0
3,tool-normalize-dedupe-retry-coding-128,gemma-4-E2B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-extra5/iteration-03/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-extra5/iteration-03/policy.json,82.79,77.31292696629214,67.6,73.03370786516854,24.366526019225383,40.298824936327485,413.56637016599416,96.88,100,77.63,62.23,60,100,118,12,12,0
3,tool-normalize-dedupe-retry-coding-128,gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-extra5/iteration-03/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-extra5/iteration-03/policy.json,84.20166666666667,77.04004026217228,58.14,76.40449438202246,15.37030898824662,23.89147727655389,630.6978853750043,96.88,100,89.33,56.67,67.33,95,118,12,12,1
4,json-640-instruction-384-reasonmath-768,gemma-4-E2B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-extra5/iteration-04/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-extra5/iteration-04/policy.json,84.43666666666667,78.5434925093633,67.82,74.15730337078652,25.44411234035232,40.63519005263684,414.0009499170119,96.88,100,83.62,64.45,66.67,95,120,12,12,0
4,json-640-instruction-384-reasonmath-768,gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-extra5/iteration-04/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-extra5/iteration-04/policy.json,84.15833333333333,77.67200468164795,58.61,78.65168539325843,16.157338340963605,24.409824661775744,639.9925178749836,90.62,100,88.77,68.89,66.67,90,118,12,12,0
5,balanced-retry-empty-json-320-896,gemma-4-E2B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-extra5/iteration-05/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-extra5/iteration-05/policy.json,85.53333333333335,79.75135580524346,66.63,77.52808988764045,25.385692845649388,38.28199300658775,420.97825650000595,96.88,100,84.87,67.78,63.67,100,118,12,12,0
5,balanced-retry-empty-json-320-896,gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/gemma4-fastify-optimization-extra5/iteration-05/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-extra5/iteration-05/policy.json,86.76166666666666,79.47963576779026,57.68,80.89887640449437,16.3880178752526,23.348342376265148,647.2358339999919,96.88,100,87.02,66.67,80,90,117,12,12,0
