key,model,suite,task_id,min_score,max_score,spread,average_score,best_run,best_candidate,best_score,worst_run,worst_candidate,worst_score,current_extra5_score,control_extra3_score,scores,errors
E2B|reasonmath|rm-05,E2B,reasonmath,rm-05,0,100,100,75,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i03,tool-normalize-dedupe-retry-coding-128,0,100,100,[object Object],[object Object]
E2B|reasonmath|rm-06,E2B,reasonmath,rm-06,0,100,100,12.5,extra3-i03,tool-rescue-reason-1024-default-256,100,extra5-i05,balanced-retry-empty-json-320-896,0,0,0,[object Object],[object Object]
E2B|reasonmath|rm-12,E2B,reasonmath,rm-12,0,100,100,87.5,extra5-i05,balanced-retry-empty-json-320-896,100,extra3-i03,tool-rescue-reason-1024-default-256,0,100,100,[object Object],[object Object]
E2B|reasonmath|rm-15,E2B,reasonmath,rm-15,0,100,100,37.5,extra3-i03,tool-rescue-reason-1024-default-256,100,extra5-i05,balanced-retry-empty-json-320-896,0,0,100,[object Object],[object Object]
E4B|reasonmath|rm-04,E4B,reasonmath,rm-04,0,100,100,50,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i04,json-640-instruction-384-reasonmath-768,0,100,100,[object Object],[object Object]
E4B|reasonmath|rm-05,E4B,reasonmath,rm-05,0,100,100,75,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i04,json-640-instruction-384-reasonmath-768,0,100,100,[object Object],[object Object]
E4B|reasonmath|rm-12,E4B,reasonmath,rm-12,0,100,100,75,extra5-i05,balanced-retry-empty-json-320-896,100,extra3-i02,json-768-instruction-448-default-288,0,100,100,[object Object],[object Object]
E2B|dataextract|de-13,E2B,dataextract,de-13,0,92,92,69,extra5-i05,balanced-retry-empty-json-320-896,92,extra5-i03,tool-normalize-dedupe-retry-coding-128,0,92,92,[object Object],[object Object]
E4B|dataextract|de-14,E4B,dataextract,de-14,0,76,76,58.25,extra5-i02,json-640-tool-256-coding-128,76,extra5-i01,reasonmath-896-instruction-640-coding-128,0,65,59,[object Object],[object Object]
E2B|toolcall|tc-03,E2B,toolcall,tc-03,25,100,75,71.875,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i04,json-640-instruction-384-reasonmath-768,25,100,100,[object Object],[object Object]
E2B|toolcall|tc-05,E2B,toolcall,tc-05,25,100,75,90.625,extra5-i05,balanced-retry-empty-json-320-896,100,extra3-i03,tool-rescue-reason-1024-default-256,25,100,100,[object Object],[object Object]
E4B|toolcall|tc-05,E4B,toolcall,tc-05,25,100,75,71.875,extra3-i03,tool-rescue-reason-1024-default-256,100,extra5-i05,balanced-retry-empty-json-320-896,25,25,25,[object Object],[object Object]
E4B|reasonmath|rm-13,E4B,reasonmath,rm-13,0,55,55,6.875,extra5-i03,tool-normalize-dedupe-retry-coding-128,55,extra5-i05,balanced-retry-empty-json-320-896,0,0,0,[object Object],[object Object]
E2B|agent|agent-02-stock-portfolio,E2B,agent,agent-02-stock-portfolio,50,100,50,75,extra3-i02,json-768-instruction-448-default-288,100,extra3-i03,tool-rescue-reason-1024-default-256,50,75,75,[object Object],[object Object]
E2B|instructfollow|if-01,E2B,instructfollow,if-01,50,100,50,93.75,extra5-i05,balanced-retry-empty-json-320-896,100,extra3-i02,json-768-instruction-448-default-288,50,100,100,[object Object],[object Object]
E2B|instructfollow|if-02,E2B,instructfollow,if-02,50,100,50,68.75,extra5-i05,balanced-retry-empty-json-320-896,100,extra3-i03,tool-rescue-reason-1024-default-256,50,100,50,[object Object],[object Object]
E2B|instructfollow|if-07,E2B,instructfollow,if-07,50,100,50,81.25,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i04,json-640-instruction-384-reasonmath-768,50,100,50,[object Object],[object Object]
E4B|agent|agent-03-string-roundtrip,E4B,agent,agent-03-string-roundtrip,50,100,50,93.75,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i04,json-640-instruction-384-reasonmath-768,50,100,100,[object Object],[object Object]
E4B|instructfollow|if-02,E4B,instructfollow,if-02,50,100,50,93.75,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i03,tool-normalize-dedupe-retry-coding-128,50,100,100,[object Object],[object Object]
E4B|instructfollow|if-04,E4B,instructfollow,if-04,50,100,50,81.25,extra5-i05,balanced-retry-empty-json-320-896,100,extra3-i03,tool-rescue-reason-1024-default-256,50,100,50,[object Object],[object Object]
E4B|instructfollow|if-07,E4B,instructfollow,if-07,50,100,50,93.75,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i03,tool-normalize-dedupe-retry-coding-128,50,100,100,[object Object],[object Object]
E4B|instructfollow|if-15,E4B,instructfollow,if-15,50,100,50,56.25,extra5-i02,json-640-tool-256-coding-128,100,extra5-i05,balanced-retry-empty-json-320-896,50,50,50,[object Object],[object Object]
E2B|reasonmath|rm-03,E2B,reasonmath,rm-03,55,100,45,94.375,extra5-i04,json-640-instruction-384-reasonmath-768,100,extra5-i05,balanced-retry-empty-json-320-896,55,55,100,[object Object],[object Object]
E4B|reasonmath|rm-03,E4B,reasonmath,rm-03,55,100,45,94.375,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i03,tool-normalize-dedupe-retry-coding-128,55,100,100,[object Object],[object Object]
E2B|dataextract|de-09,E2B,dataextract,de-09,40,80,40,66.25,extra3-i02,json-768-instruction-448-default-288,80,extra5-i03,tool-normalize-dedupe-retry-coding-128,40,70,80,[object Object],[object Object]
E2B|instructfollow|if-05,E2B,instructfollow,if-05,66.7,100,33.3,95.8375,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i03,tool-normalize-dedupe-retry-coding-128,66.7,100,100,[object Object],[object Object]
E4B|instructfollow|if-10,E4B,instructfollow,if-10,66.7,100,33.3,70.8625,extra5-i04,json-640-instruction-384-reasonmath-768,100,extra5-i05,balanced-retry-empty-json-320-896,66.7,66.7,66.7,[object Object],[object Object]
E4B|instructfollow|if-11,E4B,instructfollow,if-11,66.7,100,33.3,95.8375,extra5-i05,balanced-retry-empty-json-320-896,100,extra3-i02,json-768-instruction-448-default-288,66.7,100,100,[object Object],[object Object]
E4B|dataextract|de-09,E4B,dataextract,de-09,60,90,30,82.5,extra5-i04,json-640-instruction-384-reasonmath-768,90,extra5-i05,balanced-retry-empty-json-320-896,60,60,90,[object Object],[object Object]
E2B|dataextract|de-04,E2B,dataextract,de-04,57,86,29,75,extra5-i05,balanced-retry-empty-json-320-896,86,extra3-i02,json-768-instruction-448-default-288,57,86,57,[object Object],[object Object]
E2B|dataextract|de-11,E2B,dataextract,de-11,71,100,29,91.125,extra5-i04,json-640-instruction-384-reasonmath-768,100,extra5-i01,reasonmath-896-instruction-640-coding-128,71,86,86,[object Object],[object Object]
E2B|agent|agent-03-string-roundtrip,E2B,agent,agent-03-string-roundtrip,75,100,25,96.875,extra5-i05,balanced-retry-empty-json-320-896,100,extra3-i03,tool-rescue-reason-1024-default-256,75,100,100,[object Object],[object Object]
E2B|agent|agent-05-refuse-unknown-tool,E2B,agent,agent-05-refuse-unknown-tool,75,100,25,96.875,extra5-i05,balanced-retry-empty-json-320-896,100,extra3-i03,tool-rescue-reason-1024-default-256,75,100,100,[object Object],[object Object]
E2B|dataextract|de-10,E2B,dataextract,de-10,60,80,20,72.5,extra5-i05,balanced-retry-empty-json-320-896,80,extra5-i02,json-640-tool-256-coding-128,60,80,70,[object Object],[object Object]
E2B|dataextract|de-14,E2B,dataextract,de-14,59,76,17,65.625,extra5-i01,reasonmath-896-instruction-640-coding-128,76,extra5-i05,balanced-retry-empty-json-320-896,59,59,65,[object Object],[object Object]
E4B|dataextract|de-04,E4B,dataextract,de-04,71,86,15,84.125,extra5-i05,balanced-retry-empty-json-320-896,86,extra3-i02,json-768-instruction-448-default-288,71,86,86,[object Object],[object Object]
E2B|dataextract|de-12,E2B,dataextract,de-12,79,93,14,84.25,extra3-i03,tool-rescue-reason-1024-default-256,93,extra5-i05,balanced-retry-empty-json-320-896,79,79,79,[object Object],[object Object]
E4B|dataextract|de-12,E4B,dataextract,de-12,79,93,14,86.875,extra3-i03,tool-rescue-reason-1024-default-256,93,extra5-i04,json-640-instruction-384-reasonmath-768,79,86,79,[object Object],[object Object]
E2B|dataextract|de-07,E2B,dataextract,de-07,71,81,10,76.625,extra5-i04,json-640-instruction-384-reasonmath-768,81,extra3-i03,tool-rescue-reason-1024-default-256,71,76,76,[object Object],[object Object]
E2B|dataextract|de-08,E2B,dataextract,de-08,90,100,10,97.5,extra5-i05,balanced-retry-empty-json-320-896,100,extra5-i04,json-640-instruction-384-reasonmath-768,90,100,100,[object Object],[object Object]
E4B|dataextract|de-10,E4B,dataextract,de-10,70,80,10,75,extra5-i05,balanced-retry-empty-json-320-896,80,extra3-i02,json-768-instruction-448-default-288,70,80,70,[object Object],[object Object]
E2B|dataextract|de-03,E2B,dataextract,de-03,83,92,9,90.875,extra5-i05,balanced-retry-empty-json-320-896,92,extra3-i03,tool-rescue-reason-1024-default-256,83,92,92,[object Object],[object Object]
E2B|speed|speed-short-001,E2B,speed,speed-short-001,55.24,63.59,8.350000000000001,60.4975,extra5-i04,json-640-instruction-384-reasonmath-768,63.59,extra3-i01,promoted-extra5-control,55.24,63.28,55.24,[object Object],[object Object]
E2B|speed|speed-short-003,E2B,speed,speed-short-003,61.18,69.06,7.880000000000003,64.85375,extra5-i04,json-640-instruction-384-reasonmath-768,69.06,extra3-i01,promoted-extra5-control,61.18,62.53,61.18,[object Object],[object Object]
E2B|speed|speed-short-002,E2B,speed,speed-short-002,62.12,69.89,7.770000000000003,67.18875,extra3-i02,json-768-instruction-448-default-288,69.89,extra5-i05,balanced-retry-empty-json-320-896,62.12,62.12,69.65,[object Object],[object Object]
E4B|speed|speed-short-001,E4B,speed,speed-short-001,46.82,54.43,7.609999999999999,52.42124999999999,extra5-i02,json-640-tool-256-coding-128,54.43,extra3-i02,json-768-instruction-448-default-288,46.82,52.88,52.24,[object Object],[object Object]
E2B|dataextract|de-05,E2B,dataextract,de-05,79,86,7,82.5,extra5-i05,balanced-retry-empty-json-320-896,86,extra5-i04,json-640-instruction-384-reasonmath-768,79,86,79,[object Object],[object Object]
E2B|dataextract|de-06,E2B,dataextract,de-06,80,87,7,80.875,extra3-i02,json-768-instruction-448-default-288,87,extra5-i05,balanced-retry-empty-json-320-896,80,80,80,[object Object],[object Object]
