"Time","Model","Mode","Passed","Total","LoadCommittedMiB","PromptTPS","GenerationTPS","PromptTokens","GenerationTokens","Note","Log"
"2026-06-06T00:54:26","Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL","text","","","6610.6","22.581140489533322","37.2119507065693","35","126","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-text.response.json"
"2026-06-06T00:54:28","Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL","vision","1","1","6610.6","269.1575281694833","38.31043994316124","307","22","The image consists of a red square and a blue circle, accompanied by the text ""QWEN.""","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-vision.response.json"
"2026-06-06T00:54:29","Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL","tool","1","1","6610.6","312.8594027469937","39.706174310105226","71","18","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-tool.response.json"
"2026-06-06T00:55:02","Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL","code:lru_cache","0","6","6610.6","780.8654959183281","34.05028557544935","284","1078","evict_update_get: expected '1 -1 4 a c', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-lru_cache.js:99 const input = require('fs').readFileSync(0, 'utf8').trim().split('\n').filter(line => line.trim() !== ''); ^ SyntaxError: Identifier 'input' has already been declared at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | delete_and_empty_gets: expected '-1 20 EMPTY', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-lru_cache.js:99 const input = require('fs').readFileSync(0, 'utf8').trim().split('\n').filter(line => line.trim() !== ''); ^ SyntaxError: Identifier 'input' has already been declared at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | capacity_one: expected '-1 2 -1 3 -1 c', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-lru_cache.js:99 const input = require('fs').readFileSync(0, 'utf8').trim().split('\n').filter(line => line.trim() !== ''); ^ SyntaxError: Identifier 'input' has already been declared at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | no_gets: expected 'EMPTY k1 k3', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-lru_cache.js:99 const input = require('fs').readFileSync(0, 'utf8').trim().split('\n').filter(line => line.trim() !== ''); ^ SyntaxError: Identifier 'input' has already been declared at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | string_keys: expected '1 -1 3 4 1 aa dd cc', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-lru_cache.js:99 const input = require('fs').readFileSync(0, 'utf8').trim().split('\n').filter(line => line.trim() !== ''); ^ SyntaxError: Identifier 'input' has already been declared at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | update_existing: expected '9 -1 a c', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-lru_cache.js:99 const input = require('fs').readFileSync(0, 'utf8').trim().split('\n').filter(line => line.trim() !== ''); ^ SyntaxError: Identifier 'input' has already been declared at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-lru_cache.response.json"
"2026-06-06T00:55:32","Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL","code:expression_parser","0","7","6610.6","1197.8247502535396","36.721148634671614","150","1028","precedence: expected '14', got '' | paren_unary: expected '-20', got '' | trunc_zero: expected '0', got '' | nested: expected '31', got '' | unary_chain: expected '-1', got '' | spaces: expected '10', got '' | left_assoc: expected '3', got ''","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-expression_parser.response.json"
"2026-06-06T00:56:03","Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL","code:weighted_grid_dijkstra","0","6","6610.6","1529.2478662588671","34.75801456863094","191","1038","basic: expected '4', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-weighted_grid_dijkstra.js:46 let startRow = -1; ^ SyntaxError: Identifier 'startRow' has already been declared at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | unreachable: expected '-1', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-weighted_grid_dijkstra.js:46 let startRow = -1; ^ SyntaxError: Identifier 'startRow' has already been declared at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | zero_corridor: expected '0', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-weighted_grid_dijkstra.js:46 let startRow = -1; ^ SyntaxError: Identifier 'startRow' has already been declared at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | choose_longer_cheaper: expected '18', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-weighted_grid_dijkstra.js:46 let startRow = -1; ^ SyntaxError: Identifier 'startRow' has already been declared at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | single_row: expected '6', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-weighted_grid_dijkstra.js:46 let startRow = -1; ^ SyntaxError: Identifier 'startRow' has already been declared at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | around_wall: expected '11', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-weighted_grid_dijkstra.js:46 let startRow = -1; ^ SyntaxError: Identifier 'startRow' has already been declared at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-weighted_grid_dijkstra.response.json"
"2026-06-06T00:56:44","Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL","code:topological_scheduler","0","6","6610.6","1489.2678160557252","35.69787140833997","189","1405","simple: expected 'a b c d', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-topological_scheduler.js:17 with (no) ^^^^ SyntaxError: Strict mode code may not include a with statement at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | lexicographic: expected 'a b c m z', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-topological_scheduler.js:17 with (no) ^^^^ SyntaxError: Strict mode code may not include a with statement at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | cycle: expected 'IMPOSSIBLE', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-topological_scheduler.js:17 with (no) ^^^^ SyntaxError: Strict mode code may not include a with statement at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | independent: expected 'a b c d', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-topological_scheduler.js:17 with (no) ^^^^ SyntaxError: Strict mode code may not include a with statement at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | diamond: expected 'build lint test package deploy', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-topological_scheduler.js:17 with (no) ^^^^ SyntaxError: Strict mode code may not include a with statement at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | duplicate_edges: expected 'a b c', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-topological_scheduler.js:17 with (no) ^^^^ SyntaxError: Strict mode code may not include a with statement at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-Mobile-UD-Q2_K_XL-topological_scheduler.response.json"
"2026-06-06T00:56:59","Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL","text","","","4339.64","752.5748812006794","105.28323797034766","35","202","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-text.response.json"
"2026-06-06T00:57:00","Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL","vision","1","1","4339.64","663.2675106943784","94.37803526502701","307","35","The image features a white background with a red square on the left, a large blue circle on the right, and the text ""QWEN"" at the bottom.","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-vision.response.json"
"2026-06-06T00:57:00","Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL","tool","1","1","4339.64","1098.085310402425","94.39416644051397","71","16","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-tool.response.json"
