"Time","Model","Backend","Build","ExitCode","PromptTPS","GenerationTPS","PromptTokens","GenerationTokens","SupportsVision","DescriptionMatched","Note","Log"
"2026-05-19T22:05:16","27B Gaston Q4_K_M","vulkan","b9222","0","114.75357006516268","11.38127325298953","1111","38","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\vision-latest-27B_Gaston_Q4_K_M-vulkan-b9222-vision.json"
"2026-05-19T22:05:37","27B Gaston Q4_K_M","rocm","b9222","0","209.2530138272734","11.13439893437942","1111","38","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\vision-latest-27B_Gaston_Q4_K_M-rocm-b9222-vision.json"
"2026-05-19T22:06:09","27B Heretic Q4_K_M","vulkan","b9222","0","128.3815420853415","12.277590658201635","1111","39","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\vision-latest-27B_Heretic_Q4_K_M-vulkan-b9222-vision.json"
"2026-05-19T22:06:31","27B Heretic Q4_K_M","rocm","b9222","0","212.78608811833894","11.000654067460411","1111","35","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\vision-latest-27B_Heretic_Q4_K_M-rocm-b9222-vision.json"
"2026-05-19T22:07:05","27B cHunter i1 IQ4_XS","vulkan","b9222","0","108.1512981173497","12.05739042243584","1111","35","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\vision-latest-27B_cHunter_i1_IQ4_XS-vulkan-b9222-vision.json"
"2026-05-19T22:07:25","27B cHunter i1 IQ4_XS","rocm","b9222","0","224.06326530159498","13.173881688003338","1111","35","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\vision-latest-27B_cHunter_i1_IQ4_XS-rocm-b9222-vision.json"
"2026-05-19T22:07:56","27B HauhauCS Q4_K_P","vulkan","b9222","0","140.75465526068305","11.885469050399207","1111","37","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\vision-latest-27B_HauhauCS_Q4_K_P-vulkan-b9222-vision.json"
"2026-05-19T22:08:19","27B HauhauCS Q4_K_P","rocm","b9222","0","214.8030009003939","10.964164564087547","1111","41","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\vision-latest-27B_HauhauCS_Q4_K_P-rocm-b9222-vision.json"
"2026-05-19T22:08:48","35B googlecs Q4_K_M","vulkan","b9222","0","318.37423386722395","51.85141155982957","1111","41","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\vision-latest-35B_googlecs_Q4_K_M-vulkan-b9222-vision.json"
"2026-05-19T22:09:07","35B googlecs Q4_K_M","rocm","b9222","0","517.730281629429","52.62934946273136","1111","41","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\vision-latest-35B_googlecs_Q4_K_M-rocm-b9222-vision.json"
"2026-05-19T22:09:34","35B mrad Q4_K_M","vulkan","b9222","0","535.0496016505148","62.687745562300606","1111","37","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\vision-latest-35B_mrad_Q4_K_M-vulkan-b9222-vision.json"
"2026-05-19T22:09:53","35B mrad Q4_K_M","rocm","b9222","0","532.8107855098485","50.46557906524108","1111","37","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\vision-latest-35B_mrad_Q4_K_M-rocm-b9222-vision.json"
"2026-05-19T22:10:18","35B mrad IQ4_XS","vulkan","b9222","0","419.02075114466965","52.36424569304079","1111","41","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\vision-latest-35B_mrad_IQ4_XS-vulkan-b9222-vision.json"
"2026-05-19T22:10:36","35B mrad IQ4_XS","rocm","b9222","0","467.192254448629","55.09723317820998","1111","41","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\vision-latest-35B_mrad_IQ4_XS-rocm-b9222-vision.json"
"2026-05-19T22:11:03","35B mrad i1 Q4_K_M","vulkan","b9222","0","518.5651940535369","62.53394111935755","1111","38","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\vision-latest-35B_mrad_i1_Q4_K_M-vulkan-b9222-vision.json"
"2026-05-19T22:11:22","35B mrad i1 Q4_K_M","rocm","b9222","0","515.3902677988243","50.574391210765796","1111","34","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\vision-latest-35B_mrad_i1_Q4_K_M-rocm-b9222-vision.json"
"2026-05-19T22:11:47","35B mrad i1 IQ4_XS","vulkan","b9222","0","495.612645929151","61.71402282857808","1111","44","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\vision-latest-35B_mrad_i1_IQ4_XS-vulkan-b9222-vision.json"
"2026-05-19T22:12:02","35B mrad i1 IQ4_XS","rocm","b9222","0","491.06035887628065","56.80716047330063","1111","41","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\vision-latest-35B_mrad_i1_IQ4_XS-rocm-b9222-vision.json"
