"Time","Variant","Mode","ExitCode","Ctx","CacheK","CacheV","Mtp","LoadLocalMiB","LoadDedicatedMiB","LoadSharedMiB","PromptTPS","GenerationTPS","PromptTokens","GenerationTokens","DraftTokens","AcceptedDraftTokens","VisionSeen","TestsPassed","TestsTotal","TypeScriptPath","CodeJudge","Note","Log"
"2026-05-23T14:14:19","ctx262k-q8q8-mtp","text","0","262144","q8_0","q8_0","True","29314.02","27251.5","2062.52","123.26268099070325","20.701688586601108","45","256","217","146","","","","","","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-v2-matrix-ctx262k-q8q8-mtp-text.response.json"
"2026-05-23T14:14:39","ctx262k-q8q8-mtp","vision","0","262144","q8_0","q8_0","True","29314.02","27251.5","2062.52","135.1571875653925","22.392884381076858","1109","256","194","157","True","","","","","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-v2-matrix-ctx262k-q8q8-mtp-vision.response.json"
"2026-05-23T14:18:17","ctx262k-q8q8-mtp","typescript","0","262144","q8_0","q8_0","True","29314.02","27251.5","2062.52","146.85561156271152","22.946318669336094","210","4932","3636","3114","","8","8","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-v2-matrix-ctx262k-q8q8-mtp.extracted.ts","passes all tests; usable","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-v2-matrix-ctx262k-q8q8-mtp-code.response.json"
"2026-05-23T14:18:52","ctx262k-q8q8-no-mtp","text","0","262144","q8_0","q8_0","False","27043.23","25513.95","1529.28","133.75779139134858","13.424338461972493","45","256",,,"","","","","","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-v2-matrix-ctx262k-q8q8-no-mtp-text.response.json"
"2026-05-23T14:19:18","ctx262k-q8q8-no-mtp","vision","0","262144","q8_0","q8_0","False","27043.23","25513.95","1529.28","164.976242825988","13.29233961948497","1109","256",,,"True","","","","","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-v2-matrix-ctx262k-q8q8-no-mtp-vision.response.json"
"2026-05-23T14:26:55","ctx262k-q8q8-no-mtp","typescript","0","262144","q8_0","q8_0","False","27043.23","25513.95","1529.28","159.55688772893564","13.163118936269402","210","6000",,,"","0","8","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-v2-matrix-ctx262k-q8q8-no-mtp.extracted.ts","no visible code","no visible TypeScript code","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-v2-matrix-ctx262k-q8q8-no-mtp-code.response.json"
"2026-05-23T14:27:22","ctx262k-q4q4-mtp","text","0","262144","q4_0","q4_0","True","24856.79","22794.27","2062.52","123.79540196367019","21.14867543615219","45","256","211","149","","","","","","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-v2-matrix-ctx262k-q4q4-mtp-text.response.json"
"2026-05-23T14:27:42","ctx262k-q4q4-mtp","vision","0","262144","q4_0","q4_0","True","24856.79","22794.27","2062.52","133.47575561539966","22.037374181442825","1109","256","196","156","True","","","","","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-v2-matrix-ctx262k-q4q4-mtp-vision.response.json"
"2026-05-23T14:31:41","ctx262k-q4q4-mtp","typescript","0","262144","q4_0","q4_0","True","24856.79","22794.27","2062.52","143.97456175171794","22.46228239870693","210","5296","3982","3306","","8","8","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-v2-matrix-ctx262k-q4q4-mtp.extracted.ts","passes all tests; usable","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-v2-matrix-ctx262k-q4q4-mtp-code.response.json"
"2026-05-23T14:32:16","ctx262k-q4q4-no-mtp","text","0","262144","q4_0","q4_0","False","22842.53","21313.25","1529.28","133.8835451172671","13.414572543597886","45","256",,,"","","","","","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-v2-matrix-ctx262k-q4q4-no-mtp-text.response.json"
