"Time","Model","Mode","Passed","Total","LoadCommittedMiB","PromptTPS","GenerationTPS","PromptTokens","GenerationTokens","Note","Log"
"2026-06-06T01:55:32","Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.85","text","","","28932.59","47.28312478410657","58.81878552534022","36","256","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.85-text.response.json"
"2026-06-06T01:55:40","Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.85","vision","1","1","28932.59","309.7590582877726","58.506423950670886","1109","214","A red square is positioned to the left of a blue circle, with the black text ""QWEN"" centered below them.","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.85-vision.response.json"
"2026-06-06T01:55:42","Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.85","tool","1","1","28932.59","433.88337889364334","59.94556152522588","283","91","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.85-tool.response.json"
"2026-06-06T01:56:10","Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.85","code:lru_cache","6","6","28932.59","540.8837119199645","59.156887641869645","282","1522","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.85-lru_cache.response.json"
"2026-06-06T01:58:09","Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.85","code:expression_parser","7","7","28932.59","542.3380942174418","58.68931113752715","167","6857","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.85-expression_parser.response.json"
"2026-06-06T01:59:16","Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.85","code:weighted_grid_dijkstra","4","6","28932.59","573.7372523692945","59.09333204848246","191","3856","choose_longer_cheaper: expected '18', got '0' | around_wall: expected '11', got '0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.85-weighted_grid_dijkstra.response.json"
"2026-06-06T02:00:17","Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.85","code:topological_scheduler","6","6","28932.59","569.814168981226","59.24873411250569","191","3528","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.85-topological_scheduler.response.json"
"2026-06-06T02:00:49","Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.88","text","","","28932.59","200.67672651664225","63.274041107859254","36","256","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.88-text.response.json"
"2026-06-06T02:00:55","Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.88","vision","1","1","28932.59","353.24219960636907","59.64186395957884","1109","201","A red square and a blue circle sit side-by-side above the word ""QWEN"" in black text on a white background.","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.88-vision.response.json"
"2026-06-06T02:00:58","Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.88","tool","1","1","28932.59","405.1040244150326","59.57418582969644","283","97","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.88-tool.response.json"
"2026-06-06T02:01:39","Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.88","code:lru_cache","6","6","28932.59","508.4956642630329","59.19749116528566","282","2287","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.88-lru_cache.response.json"
"2026-06-06T02:03:43","Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.88","code:expression_parser","0","7","28932.59","493.99368752976534","58.64543749827727","167","7168","precedence: expected '14', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.88-expression_parser.js:4 break; ^^^^^ SyntaxError: Illegal break statement at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | paren_unary: expected '-20', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.88-expression_parser.js:4 break; ^^^^^ SyntaxError: Illegal break statement at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | trunc_zero: expected '0', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.88-expression_parser.js:4 break; ^^^^^ SyntaxError: Illegal break statement at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | nested: expected '31', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.88-expression_parser.js:4 break; ^^^^^ SyntaxError: Illegal break statement at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | unary_chain: expected '-1', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.88-expression_parser.js:4 break; ^^^^^ SyntaxError: Illegal break statement at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | spaces: expected '10', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.88-expression_parser.js:4 break; ^^^^^ SyntaxError: Illegal break statement at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | left_assoc: expected '3', got 'C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.88-expression_parser.js:4 break; ^^^^^ SyntaxError: Illegal break statement at wrapSafe (node:internal/modules/cjs/loader:1743:18) at Module._compile (node:internal/modules/cjs/loader:1786:20) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.88-expression_parser.response.json"
"2026-06-06T02:04:58","Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.88","code:weighted_grid_dijkstra","4","6","28932.59","562.0639222644996","59.23626453978704","191","4324","choose_longer_cheaper: expected '18', got '0' | around_wall: expected '11', got '0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.88-weighted_grid_dijkstra.response.json"
"2026-06-06T02:05:47","Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.88","code:topological_scheduler","6","6","28932.59","553.6825688552105","59.500475110336474","191","2797","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.88-topological_scheduler.response.json"
"2026-06-06T02:06:21","Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.90","text","","","28932.59","201.4831397789282","63.44065956478221","36","256","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.90-text.response.json"
"2026-06-06T02:06:27","Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.90","vision","1","1","28932.59","351.0231263784542","59.247492215238594","1109","165","A red square and a blue circle sit side-by-side above the black text ""QWEN"".","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.90-vision.response.json"
"2026-06-06T02:06:29","Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.90","tool","1","1","28932.59","412.7843544519449","59.49043468173361","283","120","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.90-tool.response.json"
"2026-06-06T02:07:26","Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.90","code:lru_cache","6","6","28932.59","550.1580241133091","59.0100820406418","282","3194","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-Q5_K_M-temp0.90-lru_cache.response.json"
