"Time","Model","Mode","Passed","Total","LoadCommittedMiB","PromptTPS","GenerationTPS","PromptTokens","GenerationTokens","Note","Log"
"2026-06-10T16:23:51","Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2","text","","","24906.72","175.25896818588518","57.54377235018412","38","173","","C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2-text.response.json"
"2026-06-10T16:23:57","Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2","vision","1","1","24906.72","205.83145905047041","72.44291204843103","1111","37","The image displays a solid red square on the left, a solid blue circle on the right, and the word ""QWEN"" in bold black capital letters centered below them.","C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2-vision.response.json"
"2026-06-10T16:23:59","Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2","tool","1","1","24906.72","433.47655804403206","56.64648879669184","285","29","","C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2-tool.response.json"
"2026-06-10T16:24:13","Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2","code:lru_cache","0","6","24906.72","496.68845216837735","74.98658540867815","284","899","evict_update_get: expected '1 -1 4 a c', got 'C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2-lru_cache.js:2 const input = fs.readFileSync(0, ""utf8"").trim().split(""\n""); ^ ReferenceError: fs is not defined at Object.<anonymous> (C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2-lru_cache.js:2:15) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | delete_and_empty_gets: expected '-1 20 EMPTY', got 'C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2-lru_cache.js:2 const input = fs.readFileSync(0, ""utf8"").trim().split(""\n""); ^ ReferenceError: fs is not defined at Object.<anonymous> (C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2-lru_cache.js:2:15) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | capacity_one: expected '-1 2 -1 3 -1 c', got 'C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2-lru_cache.js:2 const input = fs.readFileSync(0, ""utf8"").trim().split(""\n""); ^ ReferenceError: fs is not defined at Object.<anonymous> (C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2-lru_cache.js:2:15) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | no_gets: expected 'EMPTY k1 k3', got 'C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2-lru_cache.js:2 const input = fs.readFileSync(0, ""utf8"").trim().split(""\n""); ^ ReferenceError: fs is not defined at Object.<anonymous> (C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2-lru_cache.js:2:15) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | string_keys: expected '1 -1 3 4 1 aa dd cc', got 'C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2-lru_cache.js:2 const input = fs.readFileSync(0, ""utf8"").trim().split(""\n""); ^ ReferenceError: fs is not defined at Object.<anonymous> (C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2-lru_cache.js:2:15) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | update_existing: expected '9 -1 a c', got 'C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2-lru_cache.js:2 const input = fs.readFileSync(0, ""utf8"").trim().split(""\n""); ^ ReferenceError: fs is not defined at Object.<anonymous> (C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2-lru_cache.js:2:15) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0'","C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2-lru_cache.response.json"
"2026-06-10T16:24:34","Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2","code:expression_parser","5","7","24906.72","562.4914710982563","74.60579742574262","169","1357","trunc_zero: expected '0', got 'C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2-expression_parser.js:141 throw new Error('Division by zero'); ^ Error: Division by zero at evaluateRPN (C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2-expression_parser.js:141:31) at evaluate (C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2-expression_parser.js:188:12) at Object.<anonymous> (C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2-expression_parser.js:191:13) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | unary_chain: expected '-1', got '-11'","C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2-expression_parser.response.json"
"2026-06-10T16:24:48","Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2","code:weighted_grid_dijkstra","4","6","24906.72","588.6748715133214","76.12052328502968","193","926","choose_longer_cheaper: expected '18', got '0' | around_wall: expected '11', got '0'","C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2-weighted_grid_dijkstra.response.json"
"2026-06-10T16:25:01","Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2","code:topological_scheduler","6","6","24906.72","601.2610906190807","76.97312370899782","193","893","","C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-IQ4_XS-nmax2-topological_scheduler.response.json"
"2026-06-10T16:39:30","Jackrong-Qwopus3.6-35B-A3B-v1-MTP-Q4_K_M-nmax2","text","","","27151.44","169.04591375989253","57.79595563265595","38","197","","C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-Q4_K_M-nmax2-text.response.json"
"2026-06-10T16:39:35","Jackrong-Qwopus3.6-35B-A3B-v1-MTP-Q4_K_M-nmax2","vision","1","1","27151.44","231.90871939211945","68.31118143265164","1111","37","The image displays a solid red square on the left, a solid blue circle on the right, and the word ""QWEN"" in bold black capital letters centered below them.","C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-Q4_K_M-nmax2-vision.response.json"
"2026-06-10T16:39:36","Jackrong-Qwopus3.6-35B-A3B-v1-MTP-Q4_K_M-nmax2","tool","1","1","27151.44","376.80120893693146","56.56549894671141","285","29","","C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Jackrong-Qwopus3.6-35B-A3B-v1-MTP-Q4_K_M-nmax2-tool.response.json"
