"Time","Model","Mode","Passed","Total","LoadCommittedMiB","PromptTPS","GenerationTPS","PromptTokens","GenerationTokens","Note","Log"
"2026-06-11T20:18:50","Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL","text","","","4087.7","682.7003725593461","117.29524571501946","35","190","","C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-text.response.json"
"2026-06-11T20:18:50","Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL","vision","1","1","4087.7","792.9353848061183","153.94384898108416","307","40","The image features a red square and a blue circle side-by-side, both topped with the text ""QWEN,"" with an additional text ""QWEN"" at the bottom.","C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-vision.response.json"
"2026-06-11T20:18:51","Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL","tool","1","1","4087.7","1004.9824481938625","176.1726491962123","71","16","","C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-tool.response.json"
"2026-06-11T20:19:05","Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL","code:lru_cache","6","6","4087.7","2413.837065998045","116.03550605284724","284","1429","","C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-lru_cache.response.json"
"2026-06-11T20:19:23","Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL","code:expression_parser","2","7","4087.7","2024.564718585504","111.46196976002436","150","1851","precedence: expected '14', got '' | paren_unary: expected '-20', got '-10' | trunc_zero: expected '0', got '' | nested: expected '31', got '' | spaces: expected '10', got ''","C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-expression_parser.response.json"
"2026-06-11T20:19:38","Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL","code:weighted_grid_dijkstra","4","6","4087.7","2380.2995937289697","127.07924855050234","191","1632","choose_longer_cheaper: expected '18', got '0' | around_wall: expected '11', got '0'","C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-weighted_grid_dijkstra.response.json"
"2026-06-11T20:19:49","Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL","code:topological_scheduler","1","6","4087.7","2146.45891064371","129.93723864072487","189","1165","simple: expected 'a b c d', got 'C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:92 inDegree.set(v, inDegree.get(v).???(1)); ^ TypeError: inDegree.get(...).??? is not a function at solve (C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:92:41) at Object.<anonymous> (C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:125:1) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | lexicographic: expected 'a b c m z', got 'C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:92 inDegree.set(v, inDegree.get(v).???(1)); ^ TypeError: inDegree.get(...).??? is not a function at solve (C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:92:41) at Object.<anonymous> (C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:125:1) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | cycle: expected 'IMPOSSIBLE', got 'C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:92 inDegree.set(v, inDegree.get(v).???(1)); ^ TypeError: inDegree.get(...).??? is not a function at solve (C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:92:41) at Object.<anonymous> (C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:125:1) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | diamond: expected 'build lint test package deploy', got 'C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:92 inDegree.set(v, inDegree.get(v).???(1)); ^ TypeError: inDegree.get(...).??? is not a function at solve (C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:92:41) at Object.<anonymous> (C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:125:1) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0' | duplicate_edges: expected 'a b c', got 'C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:92 inDegree.set(v, inDegree.get(v).???(1)); ^ TypeError: inDegree.get(...).??? is not a function at solve (C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:92:41) at Object.<anonymous> (C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.js:125:1) at Module._compile (node:internal/modules/cjs/loader:1812:14) at Object..js (node:internal/modules/cjs/loader:1943:10) at Module.load (node:internal/modules/cjs/loader:1533:32) at Module._load (node:internal/modules/cjs/loader:1335:12) at wrapModuleLoad (node:internal/modules/cjs/loader:255:19) at Module.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:154:5) at node:internal/main/run_main_module:33:47 Node.js v24.14.0'","C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E2B-it-QAT-UD-Q4_K_XL-topological_scheduler.response.json"
"2026-06-11T20:20:09","Unsloth-Gemma4-E4B-it-QAT-UD-Q4_K_XL","text","","","10969.13","79.63993647008496","88.18263977764911","35","189","","C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-UD-Q4_K_XL-text.response.json"
"2026-06-11T20:20:11","Unsloth-Gemma4-E4B-it-QAT-UD-Q4_K_XL","vision","1","1","10969.13","179.6777973257857","81.79582739035524","307","32","The image contains a red square and a blue circle side-by-side, with the exact black text ""QWEN"" displayed beneath both shapes.","C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-UD-Q4_K_XL-vision.response.json"
"2026-06-11T20:20:13","Unsloth-Gemma4-E4B-it-QAT-UD-Q4_K_XL","tool","1","1","10969.13","151.25337923482834","107.75208938035814","71","16","","C:\Users\Admin\Documents\Developer\local-llm\windows-strix-halo\logs\new-model-Unsloth-Gemma4-E4B-it-QAT-UD-Q4_K_XL-tool.response.json"
