"Model","Mode","Passed","Total","GenTPS"
"Unsloth-Gemma4-26B-A4B-it-UD-Q5_K_M","code:lru_cache","6","6","41.24"
"Unsloth-Gemma4-26B-A4B-it-UD-Q5_K_M","code:expression_parser","7","7","41.55"
"Unsloth-Gemma4-26B-A4B-it-UD-Q5_K_M","code:weighted_grid_dijkstra","4","6","41.42"
"Unsloth-Gemma4-26B-A4B-it-UD-Q5_K_M","code:topological_scheduler","6","6","41.54"
"Smoffyy-GPT-OSS-20B-Instruct-Pure","code:lru_cache","6","6","43.71"
"Smoffyy-GPT-OSS-20B-Instruct-Pure","code:expression_parser","7","7","43.72"
"Smoffyy-GPT-OSS-20B-Instruct-Pure","code:weighted_grid_dijkstra","4","6","43.84"
"Smoffyy-GPT-OSS-20B-Instruct-Pure","code:topological_scheduler","6","6","43.79"
"Smoffyy-Qwen3.6-35B-A3B-Revised-Q5_K_M","code:lru_cache","6","6","57.98"
"Smoffyy-Qwen3.6-35B-A3B-Revised-Q5_K_M","code:expression_parser","7","7","58.3"
"Smoffyy-Qwen3.6-35B-A3B-Revised-Q5_K_M","code:weighted_grid_dijkstra","4","6","58.27"
"Smoffyy-Qwen3.6-35B-A3B-Revised-Q5_K_M","code:topological_scheduler","6","6","58.55"
"Smoffyy-Qwen3.6-27B-Revised-Q4_K_M","code:lru_cache","6","6","12.54"
"Smoffyy-Qwen3.6-27B-Revised-Q4_K_M","code:expression_parser","0","7","12.56"
"Smoffyy-Qwen3.6-27B-Revised-Q4_K_M","code:weighted_grid_dijkstra","4","6","12.58"
"Smoffyy-Qwen3.6-27B-Revised-Q4_K_M","code:topological_scheduler","6","6","12.58"
"Jackrong-Qwopus3.5-9B-Coder-Exp-Q5_K_M","code:lru_cache","5","6","32.74"
"Jackrong-Qwopus3.5-9B-Coder-Exp-Q5_K_M","code:expression_parser","0","7","32.78"
"Jackrong-Qwopus3.5-9B-Coder-Exp-Q5_K_M","code:weighted_grid_dijkstra","0","6","32.3"
"Jackrong-Qwopus3.5-9B-Coder-Exp-Q5_K_M","code:topological_scheduler","6","6","32.74"
"Smoffyy-Qwen3.5-9B-Revised-Q5_K_M","code:lru_cache","0","6","32.9"
"Smoffyy-Qwen3.5-9B-Revised-Q5_K_M","code:expression_parser","0","7","32.29"
"Smoffyy-Qwen3.5-9B-Revised-Q5_K_M","code:weighted_grid_dijkstra","4","6","32.52"
"Smoffyy-Qwen3.5-9B-Revised-Q5_K_M","code:topological_scheduler","1","6","32.31"
"Unsloth-Gemma4-E4B-it-UD-Q5_K_XL","code:lru_cache","6","6","41.49"
"Unsloth-Gemma4-E4B-it-UD-Q5_K_XL","code:expression_parser","2","7","41.44"
"Unsloth-Gemma4-E4B-it-UD-Q5_K_XL","code:weighted_grid_dijkstra","4","6","41.53"
"Unsloth-Gemma4-E4B-it-UD-Q5_K_XL","code:topological_scheduler","6","6","41.5"
"Unsloth-Gemma4-E2B-it-UD-Q5_K_XL","code:lru_cache","4","6","72.66"
"Unsloth-Gemma4-E2B-it-UD-Q5_K_XL","code:expression_parser","5","7","73.02"
"Unsloth-Gemma4-E2B-it-UD-Q5_K_XL","code:weighted_grid_dijkstra","4","6","73.13"
"Unsloth-Gemma4-E2B-it-UD-Q5_K_XL","code:topological_scheduler","6","6","73.07"
"Smoffyy-Gemma4-E4B-Instruct-Pure-Q5_K_M","code:lru_cache","6","6","43.39"
"Smoffyy-Gemma4-E4B-Instruct-Pure-Q5_K_M","code:expression_parser","6","7","43.51"
"Smoffyy-Gemma4-E4B-Instruct-Pure-Q5_K_M","code:weighted_grid_dijkstra","4","6","43.51"
"Smoffyy-Gemma4-E4B-Instruct-Pure-Q5_K_M","code:topological_scheduler","6","6","43.52"
"Smoffyy-Gemma4-26B-A4B-Instruct-Pure-Q5_K_M","code:lru_cache","6","6","47.57"
"Smoffyy-Gemma4-26B-A4B-Instruct-Pure-Q5_K_M","code:expression_parser","7","7","47.65"
"Smoffyy-Gemma4-26B-A4B-Instruct-Pure-Q5_K_M","code:weighted_grid_dijkstra","4","6","47.22"
"Smoffyy-Gemma4-26B-A4B-Instruct-Pure-Q5_K_M","code:topological_scheduler","6","6","47.96"
