"Time","Model","Mode","Passed","Total","LoadCommittedMiB","PromptTPS","GenerationTPS","PromptTokens","GenerationTokens","Note","Log"
"2026-05-27T00:16:32","Unsloth-Gemma4-E4B-it-UD-Q5_K_XL","text","","","7881.26","487.097709481009","46.07015296550515","42","256","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-UD-Q5_K_XL-text.response.json"
"2026-05-27T00:16:32","Unsloth-Gemma4-E4B-it-UD-Q5_K_XL","vision","N/A","N/A","7881.26","","","","","no mmproj in repo",""
"2026-05-27T00:16:37","Unsloth-Gemma4-E4B-it-UD-Q5_K_XL","tool","1","1","7881.26","617.6703122941099","42.77612037615576","75","206","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-UD-Q5_K_XL-tool.response.json"
"2026-05-27T00:17:43","Unsloth-Gemma4-E4B-it-UD-Q5_K_XL","code:lru_cache","6","6","7881.26","917.6990781295625","41.48990580149302","286","2653","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-UD-Q5_K_XL-lru_cache.response.json"
"2026-05-27T00:19:09","Unsloth-Gemma4-E4B-it-UD-Q5_K_XL","code:expression_parser","2","7","7881.26","912.270031929451","41.43967316009876","150","3531","paren_unary: expected '-20', got '20' | trunc_zero: expected '0', got '1' | unary_chain: expected '-1', got '' | spaces: expected '10', got '0' | left_assoc: expected '3', got '20'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-UD-Q5_K_XL-expression_parser.response.json"
"2026-05-27T00:20:12","Unsloth-Gemma4-E4B-it-UD-Q5_K_XL","code:weighted_grid_dijkstra","4","6","7881.26","1066.6862838856805","41.53015102945185","174","2525","choose_longer_cheaper: expected '18', got '0' | around_wall: expected '11', got '0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-UD-Q5_K_XL-weighted_grid_dijkstra.response.json"
"2026-05-27T00:21:12","Unsloth-Gemma4-E4B-it-UD-Q5_K_XL","code:topological_scheduler","6","6","7881.26","1042.6201286302276","41.50363286855964","172","2457","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E4B-it-UD-Q5_K_XL-topological_scheduler.response.json"
"2026-05-27T00:21:29","Unsloth-Gemma4-E2B-it-UD-Q5_K_XL","text","","","4377.78","753.2281205164993","85.34496869739908","42","256","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-UD-Q5_K_XL-text.response.json"
"2026-05-27T00:21:29","Unsloth-Gemma4-E2B-it-UD-Q5_K_XL","vision","N/A","N/A","4377.78","","","","","no mmproj in repo",""
"2026-05-27T00:21:31","Unsloth-Gemma4-E2B-it-UD-Q5_K_XL","tool","1","1","4377.78","1138.0707424773525","79.85478989666431","75","178","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-UD-Q5_K_XL-tool.response.json"
"2026-05-27T00:22:07","Unsloth-Gemma4-E2B-it-UD-Q5_K_XL","code:lru_cache","4","6","4377.78","1863.6413989039704","72.66162835872419","286","2561","delete_and_empty_gets: expected '-1 20 EMPTY', got '-1 20' | no_gets: expected 'EMPTY k1 k3', got 'k1 k3'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-UD-Q5_K_XL-lru_cache.response.json"
"2026-05-27T00:22:42","Unsloth-Gemma4-E2B-it-UD-Q5_K_XL","code:expression_parser","5","7","4377.78","1682.3687752355318","73.02249958640188","150","2421","paren_unary: expected '-20', got 'NaN' | unary_chain: expected '-1', got 'NaN'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-UD-Q5_K_XL-expression_parser.response.json"
"2026-05-27T00:23:14","Unsloth-Gemma4-E2B-it-UD-Q5_K_XL","code:weighted_grid_dijkstra","4","6","4377.78","1890.0716923745383","73.12634900554403","174","2228","choose_longer_cheaper: expected '18', got '0' | around_wall: expected '11', got '0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-UD-Q5_K_XL-weighted_grid_dijkstra.response.json"
"2026-05-27T00:23:45","Unsloth-Gemma4-E2B-it-UD-Q5_K_XL","code:topological_scheduler","6","6","4377.78","1845.1569992597915","73.07061566852913","172","2203","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-E2B-it-UD-Q5_K_XL-topological_scheduler.response.json"
"2026-05-27T00:24:06","Smoffyy-Gemma4-E4B-Instruct-Pure-Q5_K_M","text","","","7688.73","349.31592298415603","48.032956612355655","42","256","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Smoffyy-Gemma4-E4B-Instruct-Pure-Q5_K_M-text.response.json"
"2026-05-27T00:24:06","Smoffyy-Gemma4-E4B-Instruct-Pure-Q5_K_M","vision","N/A","N/A","7688.73","","","","","no mmproj in repo",""
"2026-05-27T00:24:08","Smoffyy-Gemma4-E4B-Instruct-Pure-Q5_K_M","tool","1","1","7688.73","574.2242230746263","45.02014651556571","75","72","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Smoffyy-Gemma4-E4B-Instruct-Pure-Q5_K_M-tool.response.json"
"2026-05-27T00:25:12","Smoffyy-Gemma4-E4B-Instruct-Pure-Q5_K_M","code:lru_cache","6","6","7688.73","891.9716315595782","43.391943935879794","286","2711","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Smoffyy-Gemma4-E4B-Instruct-Pure-Q5_K_M-lru_cache.response.json"
"2026-05-27T00:26:21","Smoffyy-Gemma4-E4B-Instruct-Pure-Q5_K_M","code:expression_parser","6","7","7688.73","959.0731517061911","43.506407725752965","150","2968","unary_chain: expected '-1', got ''","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Smoffyy-Gemma4-E4B-Instruct-Pure-Q5_K_M-expression_parser.response.json"
"2026-05-27T00:27:27","Smoffyy-Gemma4-E4B-Instruct-Pure-Q5_K_M","code:weighted_grid_dijkstra","4","6","7688.73","1071.415376657923","43.50579124299911","174","2769","choose_longer_cheaper: expected '18', got '0' | around_wall: expected '11', got '0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Smoffyy-Gemma4-E4B-Instruct-Pure-Q5_K_M-weighted_grid_dijkstra.response.json"
"2026-05-27T00:28:29","Smoffyy-Gemma4-E4B-Instruct-Pure-Q5_K_M","code:topological_scheduler","6","6","7688.73","1026.730817444873","43.51518163167923","172","2653","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Smoffyy-Gemma4-E4B-Instruct-Pure-Q5_K_M-topological_scheduler.response.json"
"2026-05-27T00:28:57","Smoffyy-Gemma4-26B-A4B-Instruct-Pure-Q5_K_M","text","","","23542.58","198.2272817376037","54.404293178785466","42","256","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Smoffyy-Gemma4-26B-A4B-Instruct-Pure-Q5_K_M-text.response.json"
"2026-05-27T00:28:57","Smoffyy-Gemma4-26B-A4B-Instruct-Pure-Q5_K_M","vision","N/A","N/A","23542.58","","","","","no mmproj in repo",""
"2026-05-27T00:28:59","Smoffyy-Gemma4-26B-A4B-Instruct-Pure-Q5_K_M","tool","1","1","23542.58","330.28589547111983","51.12291482411161","75","70","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Smoffyy-Gemma4-26B-A4B-Instruct-Pure-Q5_K_M-tool.response.json"
"2026-05-27T00:30:48","Smoffyy-Gemma4-26B-A4B-Instruct-Pure-Q5_K_M","code:lru_cache","6","6","23542.58","680.5748239667041","47.573805771251315","286","5107","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Smoffyy-Gemma4-26B-A4B-Instruct-Pure-Q5_K_M-lru_cache.response.json"
"2026-05-27T00:32:58","Smoffyy-Gemma4-26B-A4B-Instruct-Pure-Q5_K_M","code:expression_parser","7","7","23542.58","620.6733892491093","47.64766710885039","150","6126","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Smoffyy-Gemma4-26B-A4B-Instruct-Pure-Q5_K_M-expression_parser.response.json"
"2026-05-27T00:35:54","Smoffyy-Gemma4-26B-A4B-Instruct-Pure-Q5_K_M","code:weighted_grid_dijkstra","4","6","23542.58","653.7445662179374","47.21528210303873","174","8248","choose_longer_cheaper: expected '18', got '0' | around_wall: expected '11', got '0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Smoffyy-Gemma4-26B-A4B-Instruct-Pure-Q5_K_M-weighted_grid_dijkstra.response.json"
"2026-05-27T00:37:08","Smoffyy-Gemma4-26B-A4B-Instruct-Pure-Q5_K_M","code:topological_scheduler","6","6","23542.58","651.665725792702","47.961800332121356","172","3485","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Smoffyy-Gemma4-26B-A4B-Instruct-Pure-Q5_K_M-topological_scheduler.response.json"
