"Model","Mode","Passed","Total","GenTPS"
"Unsloth-Gemma4-E2B-it-Q5_K_M","code:lru_cache","5","6","73.86"
"Unsloth-Gemma4-E2B-it-Q5_K_M","code:expression_parser","6","7","74.12"
"Unsloth-Gemma4-E2B-it-Q5_K_M","code:weighted_grid_dijkstra","4","6","74.49"
"Unsloth-Gemma4-E2B-it-Q5_K_M","code:topological_scheduler","6","6","74.24"
"Unsloth-Gemma4-E2B-it-Q6_K","code:lru_cache","3","6","67.22"
"Unsloth-Gemma4-E2B-it-Q6_K","code:expression_parser","1","7","67.19"
"Unsloth-Gemma4-E2B-it-Q6_K","code:weighted_grid_dijkstra","4","6","67.89"
"Unsloth-Gemma4-E2B-it-Q6_K","code:topological_scheduler","6","6","67.3"
"Unsloth-Gemma4-E2B-it-UD-Q6_K_XL","code:lru_cache","0","6","63.77"
"Unsloth-Gemma4-E2B-it-UD-Q6_K_XL","code:expression_parser","0","7","63.83"
"Unsloth-Gemma4-E2B-it-UD-Q6_K_XL","code:weighted_grid_dijkstra","4","6","63.95"
"Unsloth-Gemma4-E2B-it-UD-Q6_K_XL","code:topological_scheduler","6","6","63.99"
