"Model","Mode","Passed","Total","GenTPS"
"Unsloth-Qwen3.5-4B-Q5_K_M","code:lru_cache","5","6","50.95"
"Unsloth-Qwen3.5-4B-Q5_K_M","code:expression_parser","0","7","50.31"
"Unsloth-Qwen3.5-4B-Q5_K_M","code:weighted_grid_dijkstra","1","6","50.86"
"Unsloth-Qwen3.5-4B-Q5_K_M","code:topological_scheduler","6","6","50.82"
"Jackrong-Qwopus3.5-4B-v3-Q5_K_M","code:lru_cache","0","6","52.32"
"Jackrong-Qwopus3.5-4B-v3-Q5_K_M","code:expression_parser","0","7","52.59"
"Jackrong-Qwopus3.5-4B-v3-Q5_K_M","code:weighted_grid_dijkstra","0","6","52.41"
"Jackrong-Qwopus3.5-4B-v3-Q5_K_M","code:topological_scheduler","6","6","52.7"
"Jackrong-Qwopus3.6-35B-A3B-v1-Q4_K_M","code:lru_cache","6","6","63.13"
"Jackrong-Qwopus3.6-35B-A3B-v1-Q4_K_M","code:expression_parser","0","7","61.45"
"Jackrong-Qwopus3.6-35B-A3B-v1-Q4_K_M","code:weighted_grid_dijkstra","4","6","62.72"
"Jackrong-Qwopus3.6-35B-A3B-v1-Q4_K_M","code:topological_scheduler","6","6","62.67"
