"Time","Model","Role","Backend","Mode","ExitCode","PromptTPS","GenerationTPS","PromptTokens","GenerationTokens","SupportsVision","MatchedImage","Note","Log"
"2026-05-20T14:47:34","Huihui 35B A3B MTP Q5_K","baseline","vulkan","text","0","178.49475852553684","42.94827372545406","37","192","","False","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Huihui_35B_A3B_MTP_Q5_K-vulkan-text.response.json"
"2026-05-20T14:48:01","Huihui 35B A3B MTP Q5_K","baseline","vulkan","vision","0","327.963776711378","61.901418122800806","1109","96","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Huihui_35B_A3B_MTP_Q5_K-vulkan-vision.response.json"
"2026-05-20T14:48:23","Huihui 35B A3B MTP Q5_K","baseline","rocm","text","0","143.51542984810635","34.86943485181852","37","192","","False","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Huihui_35B_A3B_MTP_Q5_K-rocm-text.response.json"
"2026-05-20T14:48:49","Huihui 35B A3B MTP Q5_K","baseline","rocm","vision","0","339.7047111437849","51.78066143322398","1109","96","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Huihui_35B_A3B_MTP_Q5_K-rocm-vision.response.json"
"2026-05-20T14:49:15","Qwopus 35B APEX Balanced","q5-class","vulkan","text","0","84.19538791318318","58.83513781518167","37","192","","False","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Qwopus_35B_APEX_Balanced-vulkan-text.response.json"
"2026-05-20T14:49:40","Qwopus 35B APEX Balanced","q5-class","vulkan","vision","0","298.20878433266444","64.72435179572994","1109","96","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Qwopus_35B_APEX_Balanced-vulkan-vision.response.json"
"2026-05-20T14:50:00","Qwopus 35B APEX Balanced","q5-class","rocm","text","0","138.87950513854167","55.06950660877102","37","192","","False","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Qwopus_35B_APEX_Balanced-rocm-text.response.json"
"2026-05-20T14:50:27","Qwopus 35B APEX Balanced","q5-class","rocm","vision","0","248.7271516973217","47.313807844826485","1109","96","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Qwopus_35B_APEX_Balanced-rocm-vision.response.json"
"2026-05-20T14:50:50","Qwopus 35B APEX I-Balanced","q5-class","vulkan","text","0","181.2588179965512","63.871341827112914","37","192","","False","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Qwopus_35B_APEX_I-Balanced-vulkan-text.response.json"
"2026-05-20T14:51:15","Qwopus 35B APEX I-Balanced","q5-class","vulkan","vision","0","317.3725558879048","59.23563813442294","1109","96","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Qwopus_35B_APEX_I-Balanced-vulkan-vision.response.json"
"2026-05-20T14:51:36","Qwopus 35B APEX I-Balanced","q5-class","rocm","text","0","145.76742610182444","50.5637729001879","37","192","","False","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Qwopus_35B_APEX_I-Balanced-rocm-text.response.json"
"2026-05-20T14:52:01","Qwopus 35B APEX I-Balanced","q5-class","rocm","vision","0","330.2564982209628","48.265096039999705","1109","96","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Qwopus_35B_APEX_I-Balanced-rocm-vision.response.json"
"2026-05-20T14:52:23","Qwopus 35B MXFP4_MOE","mxfp4","vulkan","text","0","84.45579652087771","51.93010964555807","37","192","","False","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Qwopus_35B_MXFP4_MOE-vulkan-text.response.json"
"2026-05-20T14:52:47","Qwopus 35B MXFP4_MOE","mxfp4","vulkan","vision","0","327.7871588419921","51.34181293289572","1109","96","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Qwopus_35B_MXFP4_MOE-vulkan-vision.response.json"
"2026-05-20T14:53:06","Qwopus 35B MXFP4_MOE","mxfp4","rocm","text","0","171.36293743863354","43.247266018212954","37","192","","False","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Qwopus_35B_MXFP4_MOE-rocm-text.response.json"
"2026-05-20T14:53:25","Qwopus 35B MXFP4_MOE","mxfp4","rocm","vision","0","350.4683603547915","42.438273310437296","1109","96","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Qwopus_35B_MXFP4_MOE-rocm-vision.response.json"
"2026-05-20T14:53:50","Qwopus 27B preview IQ4_XS","q4-class","vulkan","text","0","99.13484750649066","18.870767382704173","37","192","","False","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Qwopus_27B_preview_IQ4_XS-vulkan-text.response.json"
"2026-05-20T14:54:19","Qwopus 27B preview IQ4_XS","q4-class","vulkan","vision","0","139.3791457126648","19.25513129191501","1109","96","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Qwopus_27B_preview_IQ4_XS-vulkan-vision.response.json"
"2026-05-20T14:54:42","Qwopus 27B preview IQ4_XS","q4-class","rocm","text","0","117.1138093007356","18.898547380872955","37","192","","False","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Qwopus_27B_preview_IQ4_XS-rocm-text.response.json"
"2026-05-20T14:55:05","Qwopus 27B preview IQ4_XS","q4-class","rocm","vision","0","175.4049656212594","18.7787586418967","1109","96","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Qwopus_27B_preview_IQ4_XS-rocm-vision.response.json"
"2026-05-20T14:55:28","Qwen3.6 27B PRISM-PRO-DQ","dynamic-quant","vulkan","text","0","38.98286334399216","19.808803775227855","37","192","","False","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Qwen3.6_27B_PRISM-PRO-DQ-vulkan-text.response.json"
"2026-05-20T14:55:58","Qwen3.6 27B PRISM-PRO-DQ","dynamic-quant","vulkan","vision","0","122.30966977602331","20.87832503637396","1109","96","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Qwen3.6_27B_PRISM-PRO-DQ-vulkan-vision.response.json"
"2026-05-20T14:56:20","Qwen3.6 27B PRISM-PRO-DQ","dynamic-quant","rocm","text","0","94.20511253691822","17.063880324608327","37","192","","False","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Qwen3.6_27B_PRISM-PRO-DQ-rocm-text.response.json"
"2026-05-20T14:56:44","Qwen3.6 27B PRISM-PRO-DQ","dynamic-quant","rocm","vision","0","170.96235929905743","16.26145161913241","1109","96","yes","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\requested-Qwen3.6_27B_PRISM-PRO-DQ-rocm-vision.response.json"
